,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1006805000.0,1458163000.0,-183066000.0,265227000.0,0.0
Repurchase Of Capital Stock,-1081954000.0,-2294674000.0,-493055000.0,-1193042000.0,0.0
Repayment Of Debt,0.0,-4080176000.0,-4362179000.0,-5881261000.0,-4362786000.0
Issuance Of Debt,0.0,3703193000.0,4634213000.0,7785734000.0,6434556000.0
Issuance Of Capital Stock,18248000.0,61202000.0,8363000.0,19719000.0,0.0
Capital Expenditure,-495532000.0,-285175000.0,-386207000.0,-876461000.0,0.0
End Cash Position,9087289000.0,9419987000.0,11253419000.0,8080808000.0,0.0
Beginning Cash Position,9419987000.0,11253419000.0,8080808000.0,8130984000.0,0.0
Effect Of Exchange Rate Changes,-166431000.0,159103000.0,342779000.0,-424817000.0,0.0
Changes In Cash,-166267000.0,-1992535000.0,2829832000.0,374641000.0,0.0
Other Cash Adjustment Inside Changein Cash,0.0,0.0,0.0,0.0,120710000.0
Financing Cash Flow,-1652857000.0,-3537774000.0,-770952000.0,-1059358000.0,0.0
Net Other Financing Charges,21242000.0,-750600000.0,69932000.0,-920677000.0,0.0
Cash Dividends Paid,-394458000.0,-351747000.0,-396012000.0,-490115000.0,0.0
Common Stock Dividend Paid,-394458000.0,-351747000.0,0.0,-490115000.0,-485607000.0
Net Common Stock Issuance,-1063706000.0,-2233472000.0,-484692000.0,-1173323000.0,0.0
Common Stock Payments,-1081954000.0,-2294674000.0,-493055000.0,-1193042000.0,0.0
Common Stock Issuance,18248000.0,61202000.0,8363000.0,19719000.0,0.0
Net Issuance Payments Of Debt,0.0,-376983000.0,272034000.0,1904473000.0,2071770000.0
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0,0.0
Short Term Debt Payments,0.0,0.0,0.0,0.0,0.0
Short Term Debt Issuance,0.0,0.0,0.0,0.0,6057262000.0
Net Long Term Debt Issuance,0.0,-376983000.0,272034000.0,1904473000.0,2071770000.0
Long Term Debt Payments,0.0,-4080176000.0,-4362179000.0,-5881261000.0,-4362786000.0
Long Term Debt Issuance,0.0,3703193000.0,4634213000.0,7785734000.0,6434556000.0
Investing Cash Flow,-15747000.0,-198099000.0,3397643000.0,292311000.0,0.0
Net Other Investing Changes,-267000.0,-57000.0,4079000.0,3219000.0,0.0
Net Investment Purchase And Sale,-5809000.0,-20780000.0,179953000.0,21128000.0,0.0
Sale Of Investment,10939000.0,14498000.0,282134000.0,362671000.0,0.0
Purchase Of Investment,-16748000.0,-35278000.0,-102181000.0,-341543000.0,0.0
Net Business Purchase And Sale,416947000.0,31851000.0,3551669000.0,1084558000.0,0.0
Sale Of Business,1869757000.0,484327000.0,3753996000.0,1571201000.0,0.0
Purchase Of Business,-1452810000.0,-452476000.0,-202327000.0,-486643000.0,0.0
Net PPE Purchase And Sale,-426618000.0,-209113000.0,-338058000.0,-816594000.0,0.0
Sale Of PPE,68914000.0,76062000.0,48149000.0,59867000.0,0.0
Purchase Of PPE,-495532000.0,-285175000.0,-386207000.0,-876461000.0,0.0
Capital Expenditure Reported,0.0,0.0,0.0,0.0,-1163122000.0
Operating Cash Flow,1502337000.0,1743338000.0,203141000.0,1141688000.0,0.0
Taxes Refund Paid,-305963000.0,-26047000.0,-165809000.0,-361742000.0,0.0
Interest Received Cfo,284555000.0,169947000.0,108976000.0,133527000.0,0.0
Interest Paid Cfo,-650564000.0,-470524000.0,-386596000.0,-424990000.0,0.0
Dividend Received Cfo,929358000.0,640225000.0,466765000.0,739532000.0,0.0
Change In Working Capital,-72652000.0,44135000.0,-1303175000.0,-704399000.0,0.0
Other Non Cash Items,356733000.0,305783000.0,259962000.0,-20981000.0,0.0
Depreciation And Amortization,551019000.0,620750000.0,479446000.0,876318000.0,0.0
Amortization Cash Flow,0.0,0.0,0.0,968315000.0,969714000.0
Depreciation,551019000.0,620750000.0,479446000.0,876318000.0,0.0
Gain Loss On Investment Securities,-422436000.0,-219220000.0,91821000.0,0.0,0.0
Net Income From Continuing Operations,1127229000.0,1008651000.0,57502000.0,904423000.0,0.0
